名称,カナ,部門,分類,管理コード,精度管理対象,適用開始日,適用終了日,数量単位,梱包数,梱包単位,規格,単価,テスト数,最低個数,発注個数,JANコード,メーカー,問屋,バーコード発行
溶血・洗浄液ＨＳＩ（Ｌ）,溶血･洗浄液HSI(L),生化学,試薬,,,2001/1/1,2099/12/31,,,,2Lx1,20400,,,,4987026020976,栄研化学,サツマ薬品,
ＨＢＡ１Ｃコントロール,HBA1Cｺﾝﾄﾛｰﾙ,生化学,試薬,,,2001/1/1,2099/12/31,,,,0.5x8,16600,,,,4987026184715,栄研化学,サツマ薬品,
ＨＢＡ１ｃキャリブレーターセット,HBA1cｷｬﾘﾌﾞﾚｰﾀｰｾｯﾄ,生化学,試薬,,,2001/1/1,2099/12/31,,,,,10000,,,,4987026231334,栄研化学,サツマ薬品,
ＨＢＡ１ｃ用希釈液,HBA1c用希釈液,生化学,試薬,,,2001/1/1,2099/12/31,,,,,12300,,,,4987026231341,栄研化学,サツマ薬品,
ＴＳＫ　ｇｅｌ　Ｇ１１　カラム,TSK gel G11 ｶﾗﾑ,生化学,試薬,,,2001/1/1,2099/12/31,,,,1本,150000,,,,4987026212210,栄研化学,サツマ薬品,
Ｇ１１ＨＳＩ第１液（Ｓ）,G11HSI第1液(S),生化学,試薬,,,2001/1/1,2099/12/31,,,,800mlx1,16570,,,,4987026212227,栄研化学,サツマ薬品,
Ｇ１１ＨＳＩ第２液（Ｓ）,G11HSI第2液(S),生化学,試薬,,,2001/1/1,2099/12/31,,,,800mlx1,16570,,,,4987026212234,栄研化学,サツマ薬品,
Ｇ１１ＨＳＩ第３液（Ｓ）,G11HSI第3液(S),生化学,試薬,,,2001/1/1,2099/12/31,,,,800mlx1,16570,,,,4987026212241,栄研化学,サツマ薬品,
ＡＩＡ－パックＣＬ　ＴＳＨ　反応試薬,AIA-ﾊﾟｯｸCL TSH 反応試薬,生化学,試薬,,,2001/1/1,2099/12/31,,,,96回,54000,,,,4987026211251,栄研化学,サツマ薬品,
ＡＩＡ－ＣＬ用　ＴＳＨ　較正試薬セット,AIA-CL用 TSH 較正試薬ｾｯﾄ,生化学,試薬,,,2001/1/1,2099/12/31,,,,6回,19000,,,,4987026211268,栄研化学,サツマ薬品,
